Indicator_code,Indicator_name,Thematic_group,Nonzero_munis,Nonzero_pct,Rarity_score_ri,Sqrt_ri,Normalised within-group weight (w_i)
n_Sport_Shop,Sports shops,Sports and Recreation,51,24.1,0.7594339622641509,0.8714550833314079,0.08948795051757465
n_Camp_Site,Camp sites,Sports and Recreation,53,25.0,0.75,0.8660254037844386,0.0889303877654383
n_Playground,Playgrounds,Sports and Recreation,76,35.8,0.6415094339622642,0.8009428406336274,0.08224719169234608
n_Parks,City parks,Sports and Recreation,136,64.2,0.3584905660377359,0.5987408170800917,0.061483477044954424
n_Bike_paths,Bicycle path length (km),Sports and Recreation,156,73.6,0.26415094339622647,0.5139561687500467,0.05277711390641538
n_Hunt_Stand,Hunting stands,Sports and Recreation,161,75.9,0.24056603773584906,0.49047531817192297,0.050365913105780875
n_Travel_A,Travel agencies,Tourism and Services,5,2.4,0.9764150943396226,0.9881371839677032,0.12668465647992397
n_Gift_Shop,Gift shops,Tourism and Services,38,17.9,0.8207547169811321,0.9059551407112452,0.11614846364386638
n_Fast_food,Fast food outlets,Tourism and Services,63,29.7,0.7028301886792453,0.8383496816241092,0.10748106958200977
n_Hotels,Hotels,Tourism and Services,66,31.1,0.6886792452830188,0.8298670045754433,0.10639354343141458
n_Bakery,Bakeries,Tourism and Services,103,48.6,0.5141509433962264,0.7170431949305609,0.09192890653734803
n_Hostels,Hostels and motels,Tourism and Services,108,50.9,0.49056603773584906,0.7004041959724749,0.08979569477143616
n_Pub_Toilet,Public toilets,Tourism and Services,118,55.7,0.44339622641509435,0.6658800390574073,0.08536950675826725
n_Restaurant,Restaurants,Tourism and Services,156,73.6,0.26415094339622647,0.5139561687500467,0.06589202566226432
n_Clubs_Bars,Clubs and bars,Tourism and Services,177,83.5,0.16509433962264153,0.40631802768600056,0.052092220183755006
n_Tur_arriv,Tourist arrivals,Tourism and Services,189,89.2,0.10849056603773588,0.3293790613225678,0.04222821882664133
n_OvernightS,Overnight stays,Tourism and Services,190,89.6,0.10377358490566035,0.32213907696158245,0.04130001275710694
