Thematic_group;Indicator_code;Indicator_name;Source;
Traffic;n_Car_Rent;Car rental services;OpenStreetMap (OSM);
Traffic;n_Gas_stat;Petrol stations;OpenStreetMap (OSM);
Traffic;n_Bike_Renta;Bicycle rental locations;OpenStreetMap (OSM);
Traffic;n_Car_Wash;Car wash services;OpenStreetMap (OSM);
Traffic;n_Driving_sc;Driving schools;OpenStreetMap (OSM);
Traffic;n_Roads_L;Highway road length (km);GURS (Geodetska uprava Republike Slovenije);
Traffic;n_Railway_St;Railway stations;OpenStreetMap (OSM);
Traffic;n_Railway_L;Railway length (km);OpenStreetMap (OSM);
Traffic;n_Parking;Parking facilities;GURS (Geodetska uprava Republike Slovenije);
Traffic;n_Bus_stops;Bus stops;GURS (Geodetska uprava Republike Slovenije);
Traffic;n_Post_offic;Post offices;GURS (Geodetska uprava Republike Slovenije);
;;;;
Note: All spatial facility data were collected in April 2026. Point facility layers were sourced from OpenStreetMap (downloaded via Geofabrik) and from the GURS open spatial data portal (e-Prostor). Where data were available from both sources, GURS data were preferred for Slovenian institutional facilities and OpenStreetMap data were used for commercial and recreational facilities. Statistical indicators were sourced from SURS (Statistièni urad Republike Slovenije) via the SISTAT portal, using the most recently available reference year for each indicator at the time of collection. The number of doctors indicator (n_NumberDr) was obtained from the ZZZS (Zavod za zdravstveno zavarovanje Slovenije) public register of physicians, downloaded in April 2026. Data reference years are not reported individually as they reflect the most recently published values available at the time of data collection.;;;;
