GI_scenario,min,max,mean,std,n_low,n_medium,n_high
AHP,-0.0,0.7568824081276602,0.5048906707655277,0.16862272631679973,397,1892,3747
NW,-0.0,0.7931384896575387,0.5264852516548528,0.17669019597662486,383,1671,3982
