comparison,n,n_agree,agreement_pct,cohen_kappa,morans_I,z_score,p_value
AHP_vs_NW,6036,5349,88.6182902584493,0.8807346415578311,0.18376563233303994,23.681893869312166,0.001
AHP_vs_ML,6036,4557,75.49701789264414,0.7488070560580808,0.4505164081522767,60.1250211175549,0.001
NW_vs_ML,6036,4672,77.40225314777999,0.77034819549183,0.4472809501193798,55.29694207675259,0.001
