fold,AHP_R2,AHP_MAE,AHP_RMSE,NW_R2,NW_MAE,NW_RMSE
1,0.8751903109968457,0.001286470742944,0.0092123178602961,0.8608068078379446,0.0012406066306275,0.0091900674652758
2,0.9048962518325152,0.0023969600211253,0.0125749103143389,0.9192177649069344,0.0024121560880431,0.0117069362877693
3,0.8588925111097774,0.0026155884807383,0.0144327879705283,0.8433972832643866,0.0026205567839979,0.0152483547286011
4,0.8951740569220955,0.0017163440741066,0.0090690147279505,0.8894844045203676,0.0018716337585756,0.0093231330823733
5,0.6943189101167327,0.0038683030082127,0.0204728344005271,0.760438796131018,0.003601871293394,0.01733364937769
mean,0.8456944081955934,0.00237673326542538,0.013152373054728179,0.8546690113321302,0.00234936491092762,0.012560428188341901
sd,0.08647518943218055,0.000988310108855653,0.00468401350469107,0.06004729604099639,0.0008808847796567381,0.0036254809694483783
