layer,field,n,morans_I,expected_I,p_value,z_score
AHP_vs_NW,agreement,6036,0.18376563233303994,-0.00016570008285004143,0.001,23.681893869312166
AHP_vs_ML,agreement,6036,0.4724555807216684,-0.00016570008285004143,0.001,63.705271603135586
NW_vs_ML,agreement,6036,0.44516475969321223,-0.00016570008285004143,0.001,55.78178140019985
MLAHP_vs_MLNW,agreement,6036,0.33755770369183,-0.00016570008285004143,0.001,43.45012766497194
