feature,importance
dist_to_muni,0.6253522957299186
GI_AHP,0.22809986877760902
nacc_Recycle_Bins,0.009634010445244255
n_Population,0.007574233451816804
n_Area_km2,0.0072595109960850125
n_Companies,0.005612342397926383
nacc_univerze,0.005110911623008303
nacc_Theaters,0.00498137600502321
n_Addresses,0.00391263930598081
nacc_Hostels_motels,0.0028311954286446774
nacc_Hotels,0.0027560901775825013
n_University,0.002733928065306112
nacc_zdrav_domovi,0.002385994919834939
n_Parking,0.0023234164322949286
n_Dorms,0.002322447444784448
n_Roads_L,0.002286444097375459
nacc_Faculties,0.002277668800889591
n_Veterinary,0.002246492831729094
nacc_Higher_Courthouses,0.0020892608959627874
n_Railway_St,0.0019326193762003012
n_Thematic_S,0.0019011298492879857
nacc_sazu,0.0018636092284028175
nacc_okrozna_sod,0.0017816723108747586
nacc_Public_toilet,0.0017594903600450702
n_Apartments,0.0017296411334318897
n_Bus_stops,0.0017078141972136126
n_Parks,0.0016829149841470364
n_Density,0.0016598321154533378
n_Reg_Court,0.001508483842970196
nacc_zoo,0.0014359909106622423
nacc_Main_Courthouse,0.0013949045518246066
nacc_Stadiums,0.001355571323284246
n_Bike_paths,0.0013195718422970857
nacc_Book_stores,0.0013004476254429422
nacc_arhivi,0.0012926804139599256
n_Hostels,0.001254342871575717
n_NumberDr,0.001093509778942193
nacc_Community_center,0.001075892979443607
n_PCHeritage,0.0010624948816338345
nacc_Swimming_pool,0.0010328579349701697
nacc_okrajna_sod,0.0010240249295652725
n_Supermarke,0.0010100744154299813
nacc_furs,0.0009957401321386426
nacc_Car_rent,0.0009938216654538361
n_Restaurant,0.0009893817087999655
n_Museums,0.0009529897290266629
nacc_All_airports,0.0009410466561481773
nacc_Cinemas,0.0008867291504766224
nacc_Travel_agencies,0.0008190999225999023
nacc_Fast_food,0.0008077572234426002
nacc_lekarne,0.0008009144953585762
n_Railway_L,0.0007707377724348185
n_Local_Cour,0.0007636739586119868
nacc_dijaski_studentski_domi,0.0007600371609750306
nacc_Dentis_offices,0.0007577159352754421
n_Tur_inf_p,0.0007392920829650061
n_OvernightS,0.0007044291051664445
nacc_School_of_arts,0.0006911998109868936
nacc_Nursing_home,0.0006448086017632274
nacc_Clinics,0.0006392715475998627
n_Apartme_OS,0.0006355737376717745
n_Dom_zdrav,0.0006312359573579636
nacc_Kiosk,0.0006292961544330984
nacc_Bike_rental,0.0005952082429578683
nacc_Marketplaces,0.0005880659230262886
n_Second_Sch,0.0005752828572120324
n_Rec_Bins,0.0005632961163037403
nacc_Gift_shops,0.0005595713029133391
nacc_Outdoor_shop,0.0005321021120776923
nacc_Supermarkets,0.0005313439071952016
nacc_Currency_exchange,0.000516276447615979
nacc_klinicni_centri,0.000500029326804207
n_Fast_food,0.0004905498544452453
n_Pub_Toilet,0.00048566404591766715
n_Enroll_Pri,0.00046143883030281993
n_Hotels,0.00045687985005231704
nacc_Private_schools,0.00045389707343263625
nacc_avtosole,0.00044030061147252243
n_Post_offic,0.00043924429968762583
nacc_Doctors_offices,0.0004351153535608664
nacc_Car_wash,0.0004312474708750175
nacc_Veterinarian_Offices,0.0004285533287698839
nacc_Parkings,0.0004258395465724618
n_Playground,0.00041729285698186567
n_Enrolled_K,0.00041237415860994844
nacc_srednje_sole,0.0004080434238628543
n_Employ,0.0003972129994936002
nacc_Museums,0.00039403653570927626
n_Bike_Shop,0.0003794174768257449
nacc_Sports_hall,0.0003726027971951985
n_Clubs_Bars,0.0003724986294607713
nacc_bolnice_ok,0.0003710099417013284
nacc_Fitness_C,0.00035919279692942966
nacc_School_of_music,0.0003520415859167733
n_Bakery,0.0003460970016296131
nacc_Libraries,0.00034174449986262053
n_Artwork,0.0003415116282174466
nacc_Police_stations,0.00032435137113002055
nacc_Gas_stations,0.0003228744062260689
nacc_turist_objekti,0.0003215378698103405
n_Students,0.0003120087491782552
n_Tur_arriv,0.000304973752239512
n_Hunt_Stand,0.00028592100658311097
n_Archives,0.0002843179102081599
nacc_Sport_shops,0.00027367898987547436
nacc_Embasy_consul,0.00027224481519917855
nacc_Bike_shops,0.0002699397018262475
nacc_Vending_Parking,0.00026916285393467805
n_Car_Rent,0.000266323035821201
nacc_Bus_stops,0.0002646595866825524
n_Libraries,0.0002505723683422168
n_Sport_Shop,0.0002494775548974294
nacc_Railway_Stations,0.0002486517677096642
nacc_ATMs,0.00023397320375975324
n_Parking_V,0.00023256853252409166
nacc_poste,0.0002316589723842855
nacc_Restaurants,0.00022945019835901676
nacc_Camp_sites,0.00022578063482762587
nacc_Chapels,0.00022373549285613893
n_Book_Store,0.000222331434013404
nacc_Archaeological_site,0.00022194572861255097
nacc_Bus_Industrial_Zones,0.0002174839444592997
n_Privat_Sch,0.00021720043432676213
nacc_osnovne_sole,0.00021250815951970076
n_ATMs,0.00020779915265964273
nacc_Banks,0.0002060570404361227
nacc_Hunting_stand,0.00019632153184267266
nacc_Shoping_Malls,0.00019543249932241577
n_Faculties,0.00019032186908243896
nacc_Playgrounds,0.00018451308365904318
nacc_Thematic_Shops,0.00018188691083430392
nacc_kulturna_dediscina,0.00018113978565520282
n_Driving_sc,0.00018076161915288701
n_Kindergard,0.00017930192457163508
nacc_Clubs_bars,0.0001787829606293903
nacc_Bakery,0.00017347339779351365
nacc_Religious_buildings,0.0001706910501341665
n_Enrolled_S,0.00016939846420095157
n_Primary_Sc,0.0001692527347456401
n_Fitness,0.00016909381846818034
n_Pharmacy,0.00016017292346643793
n_Chapels,0.0001585732530288422
nacc_Town_hall,0.00015604892193647686
nacc_Fire_stations,0.00014503273896686414
n_Gas_stat,0.0001436185696354082
nacc_Artwork,0.0001343195720238138
nacc_Tourist_info_points,0.0001275257235598117
n_Arch_Site,0.00011805601534752912
n_Finance_of,0.00011774689375177667
n_Banks,0.00011674255504610104
n_Cinemas,0.00011576603604366773
nacc_pristanisca,0.00011359927840928272
n_Religion_B,0.00011021657056107213
n_Emb_Consul,0.00010930798707555469
n_Ind_B_Zone,0.000109220744354131
nacc_vrtci,0.00010765424879882728
nacc_Parks,0.00010131745963432959
n_SAZU,9.922418564241165e-05
n_Bike_Renta,9.660794539873719e-05
n_Outdoor_S,9.61141479326102e-05
nacc_sodisca_osm,8.115050888912886e-05
n_Camp_Site,7.745576641737055e-05
n_Kiosk,7.115303951869045e-05
n_Shp_mall,6.564242613051056e-05
n_Dentists,6.489502685368629e-05
n_CommunityC,6.1024542353094005e-05
n_Stadiums,5.438406558695646e-05
n_Doctor_off,4.709623526362325e-05
n_Car_Wash,4.248480304868156e-05
n_High_Court,4.2434384900764114e-05
n_Town_hall,3.8313812685248826e-05
n_Fire_stat,3.514935017968528e-05
n_Clinics,3.434411556423095e-05
n_Sport_Hall,3.1577474380298626e-05
n_Gift_Shop,2.788895875592023e-05
n_Airports,2.340455065118186e-05
n_Marketplac,2.311435577725773e-05
n_Theater,2.182902887353148e-05
n_Hospitals,1.8536607328606836e-05
n_School_Mus,1.7558898261394266e-05
n_Swim_Pool,1.50030417455898e-05
n_Police_sta,1.403965207500001e-05
n_School_Art,1.204523445278721e-05
n_Travel_A,9.896434175929167e-06
n_Nursing_H,4.582843484811092e-06
n_Seaport,4.272668959738698e-06
n_Exchange_C,7.413601659894049e-07
n_Zoo,1.1969805746746773e-07
n_Main_Court,0.0
