n_disagree,n_settlements,mean_entropy_AHP,sd_entropy_AHP,n_low,n_medium,n_high
0,3948,0.4520757607386391,0.17592697625065234,397,1646,1905
1,792,0.5838077345603493,0.09688873663974547,0,130,662
2,1234,0.6169880659350225,0.08674801544782933,0,112,1122
3,62,0.6288062291768383,0.07340445486208942,0,4,58
total,6036,0.5048906707655277,0.16862272631679973,397,1892,3747
