Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,ahp_dominant_muni,ahp_dominant_Pij,ahp_dominant_dist_m,agreement
10119073,Dolnji Ajdovec,Novo mesto,0.1881036682746721,Novo mesto,0.2169523118440422,8552.919141177903,1
10119081,Dolnji Kot,Novo mesto,0.16157724067652185,Novo mesto,0.1698525355369687,6850.1882976124,1
10119090,Dolnji Križ,Žužemberk,0.19379630061996006,Žužemberk,0.2259569267178855,5163.832738464484,1
10119103,Dolž,Novo mesto,0.26714347510676717,Novo mesto,0.4906485177275539,11024.838218906292,1
10119111,Draga,Novo mesto,0.2015960537734313,Novo mesto,0.2988442658628397,4512.6884617557525,1
10119120,Drama,Novo mesto,0.17474856033311134,Novo mesto,0.1824238956342209,4048.584180255148,1
10119138,Drašča vas,Žužemberk,0.08270575935574459,Ljubljana,0.2136268254896259,8006.758578074738,0
10119146,Drča,Novo mesto,0.1657006890025508,Novo mesto,0.1797809931040997,3937.877084574765,1
10119154,Drenje,Novo mesto,0.18885164652320527,Novo mesto,0.2161078462199308,5885.808753774116,1
10119162,Drganja sela,Novo mesto,0.20267394019037088,Novo mesto,0.2760181203241577,4880.941798313503,1
10119189,Družinska vas,Novo mesto,0.2784881495030334,Novo mesto,0.3998976498788324,3814.808579336534,1
10119197,Dvor,Žužemberk,0.23068162114001098,Žužemberk,0.2963647809536469,4235.596550617271,1
10119219,Gabrje,Novo mesto,0.24721927376324204,Novo mesto,0.4613699781694695,11513.038333298176,1
10119227,Gabrje pri Soteski,Dolenjske Toplice,0.2308504404812573,Dolenjske Toplice,0.27458861950641,3323.5919951186,1
10119235,Gabrnik,Novo mesto,0.11744621021794734,Novo mesto,0.1371975400240713,4232.216527346225,1
10119243,Globočdol,Novo mesto,0.2784881495030334,Novo mesto,0.3693838488079295,5492.696022913003,1
10119251,Golobinjek,Novo mesto,0.20267394019037088,Novo mesto,0.2702954787650815,3707.979887638596,1
10119260,Golušnik,Novo mesto,0.3652924570884455,Novo mesto,0.5684338220399374,8317.969027215348,1
10119278,Gorenja Brezovica,Novo mesto,0.19142172342533523,Šentjernej,0.2971161346389548,2423.0043776957914,0
10119286,Gorenja Gomila,Novo mesto,0.18795268592722586,Novo mesto,0.2863369705225602,5266.490073242549,1
10119294,Gorenja Stara vas,Novo mesto,0.17261194262714039,Novo mesto,0.24734571066005,2909.314109534345,1
10119308,Gorenja vas pri Šmarjeti,Šmarješke Toplice,0.347919653149425,Šmarješke Toplice,0.5051747536874928,1054.9789695989318,1
10119316,Gorenje Dole,Novo mesto,0.10930340384651357,Novo mesto,0.1230988643518836,4796.035072260794,1
10119324,Gorenje Gradišče,Dolenjske Toplice,0.5331368170330908,Dolenjske Toplice,0.6269961360844183,1516.1676828617344,1
10119332,Gorenje Gradišče pri Šentj.,Novo mesto,0.19906611310451933,Novo mesto,0.3337948884565996,4219.838968315796,1
10119359,Gorenje Grčevje,Novo mesto,0.20756422383397669,Novo mesto,0.3993867083212879,10349.859924560576,1
10119367,Gorenje Kamence,Novo mesto,0.4819520812624935,Novo mesto,0.6574635437889168,6406.425834502532,1
