fold,r2,mae,rmse,n_test,wall_time_s,wall_time_note
1,0.8608068078379446,0.0012406066306275493,0.00919006746527585,368196,960.8498160839081,
2,0.9192177649069345,0.0024121560880431183,0.011706936287769375,205224,1186.5822896957397,
3,0.8433972832643866,0.0026205567839979915,0.015248354728601147,138828,1247.717989206314,
4,0.8894844045203676,0.0018716337585756965,0.00932313308237334,313872,1018.9862177371979,
5,0.760438796131018,0.003601871293394018,0.017333649377690084,253512,1050.3329644203186,
