Village_ID,Village_Name,euclidean_dominant_muni,euclidean_dominant_Pij,euclidean_dominant_dist_m,network_dominant_muni,network_dominant_Pij,network_dominant_dist_m,agreement,SIFRA,home_region
10094097,Gatina,Grosuplje,0.6098909135803021,2297.0633426181353,Grosuplje,0.5933131170157756,2839.202969645995,1,32,Grosuplje
10095948,Zgornje Duplice,Grosuplje,0.4569012194074235,2993.476240092779,Grosuplje,0.3530755010239401,4531.551389434503,1,32,Grosuplje
10143306,Primštal,Trebnje,0.7050482714342834,2185.6349191939626,Trebnje,0.6634368621728977,3096.016919590001,1,130,Trebnje
10105498,Trška Gora,Krško,0.9429203063657089,1338.6564159634092,Krško,0.901384948603502,2387.262302861843,1,54,Krško
10104700,Loke,Krško,0.79589185147493,2775.8351896321224,Krško,0.6616348260033856,5255.362993094027,1,54,Krško
10102111,Rožar,Koper,0.49056050961980113,9600.00520833192,Koper,0.5093921393054145,11538.1057846558,1,50,Koper
10101808,Krnica,Koper,0.47418073623032964,9992.206963429051,Koper,0.5165508365767154,11504.03952576999,1,50,Koper
10129753,Orehovo,Sevnica,0.5330407499129343,3476.794500685941,Sevnica,0.6631471619605086,3639.337622742184,1,110,Sevnica
10130239,Trnovec,Sevnica,0.2407392354344668,6609.8411478642965,Sevnica,0.2193644996505025,9791.463360641228,1,110,Sevnica
10139139,Lekmarje,Šmarje pri Jelšah,0.3108272347031936,3989.711769037959,Šmarje pri Jelšah,0.2713329784086605,5941.907036074346,1,124,Šmarje pri Jelšah
10089581,Naklo,Črnomelj,0.5970026111771988,4418.234941693346,Črnomelj,0.5823084559096564,6042.367598391384,1,17,Črnomelj
10085420,Piršenbreg,Brežice,0.3731072538493264,8263.66746668814,Brežice,0.3761970906180453,10765.342289325466,1,9,Brežice
10111412,Dolenje Kališče,Ljubljana,0.261461853121569,27423.805005870356,Ljubljana,0.3373257148654326,9877.608273017571,1,134,Velike Lašče
10143136,Mrzla Luža,Trebnje,0.535676854056983,3153.727952756864,Trebnje,0.5657025332662182,3814.684055330108,1,130,Trebnje
18129914,Travna Gora,Sodražica,0.2810875743898078,2150.348808914498,Ljubljana,0.1996718329709539,7908.301556275435,0,179,Sodražica
10143071,Migolica,Trebnje,0.21441023168964962,6036.2322685595855,Trebnje,0.1513452506372648,2530.1733297767923,1,212,Mirna
10101557,Dol pri Hrastovljah,Koper,0.3468359949989487,15113.12346935603,Koper,0.3910452349471707,18655.64774217574,1,50,Koper
10101433,Brežec pri Podgorju,Koper,0.32734671462403697,15273.36246541671,Koper,0.3698511650233357,14368.263687392648,1,50,Koper
10106117,Lahomno,Laško,0.5285298194673781,2447.2433471152804,Laško,0.5050063731956205,3587.585131715168,1,57,Laško
10138434,Brecljevo,Šmarje pri Jelšah,0.770528896042968,1405.8449416631977,Šmarje pri Jelšah,0.6669922015305009,2424.4684706565176,1,124,Šmarje pri Jelšah
10142466,Gorenja vas pri Čatežu,Trebnje,0.19331505625945747,6730.921185097921,Trebnje,0.2227903949191892,8478.60449811905,1,130,Trebnje
10100526,Podplanina,Ljubljana,0.16841086023255344,51583.802118494525,Ljubljana,0.2231008105310177,12256.237695627551,1,66,Loški Potok
10100437,Padovo pri Osilnici,Ljubljana,0.14469017916988258,59049.775452578986,Ljubljana,0.1874846952666313,3257.134300364215,1,88,Osilnica
10143730,Šentrupert,Šentrupert,1.0,0.0,Šentrupert,0.9999991565061592,0.0,1,211,Šentrupert
10104866,Nemška vas,Krško,0.5619378203616463,4818.6513673433565,Krško,0.4435721969795303,8195.66805839829,1,54,Krško
10104947,Pijana Gora,Krško,0.3161203240308383,7906.0294079898285,Krško,0.2676088430232433,12502.18580061141,1,54,Krško
10132096,Tublje pri Hrpeljah,Hrpelje-Kozina,0.6702245446198805,2207.9175709251467,Hrpelje-Kozina,0.7379633101065433,2536.0729357482046,1,35,Hrpelje-Kozina
10139015,Konuško,Šmarje pri Jelšah,0.3303888627786429,3568.5431200981725,Šmarje pri Jelšah,0.2535063710625745,5813.864157039939,1,124,Šmarje pri Jelšah
10138361,Belo,Šmarje pri Jelšah,0.5019315914676582,2453.81335883559,Šmarje pri Jelšah,0.5525595588151759,2800.560131729824,1,124,Šmarje pri Jelšah
10087503,Iga vas,Ljubljana,0.18281724755757145,40288.943160624105,Ljubljana,0.1736063261663793,4405.21759967249,1,65,Loška dolina
10112486,Prhajevo,Velike Lašče,0.5221074087211492,1422.1462653327892,Velike Lašče,0.3284723258506733,2668.256277664582,1,134,Velike Lašče
10143233,Pluska,Trebnje,0.44777947033679955,3754.3175145424234,Trebnje,0.4971842441081621,4248.457833385606,1,130,Trebnje
10143144,Muhabran,Trebnje,0.2809748508787047,5315.00705549861,Trebnje,0.2281840621122998,7978.536105208112,1,130,Trebnje
10100704,Pungert,Ljubljana,0.16172801972684178,52716.860120838,Ljubljana,0.2241338042103472,14206.76879839233,1,66,Loški Potok
