beta,n_villages,n_agree,agreement_pct,cohen_kappa
1.5,6036,4684,77.60106030483765,0.7559758857046897
2.0,6036,6036,100.0,1.0
2.5,6036,5022,83.20079522862824,0.8262331624359865
3.0,6036,4456,73.82372432074222,0.7321113013037752
