Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,huff_dominant_muni,huff_dominant_Pij,agreement,agreement_label
10139252,Orehovec,Rogaška Slatina,0.12265641764988836,Šmarje pri Jelšah,0.1848117457097549,0,Huff and ML disagree
10139279,Ortnice,Celje,0.07348006958457058,Podčetrtek,0.104768300949697,0,Huff and ML disagree
10139287,Osredek pri Podsredi,Krško,0.12547168733666297,Krško,0.2168508427030797,1,Huff and ML agree
10139295,Pecelj,Podčetrtek,0.114107242126292,Podčetrtek,0.1438828589743735,1,Huff and ML agree
10139309,Pečica,Rogaška Slatina,0.2484599438803723,Rogaška Slatina,0.1458717054015973,1,Huff and ML agree
10139317,Pijovci,Šmarje pri Jelšah,0.3280816236232974,Šmarje pri Jelšah,0.4265249168370352,1,Huff and ML agree
10139325,Pilštanj,Kozje,0.11875072560644066,Kozje,0.1476320906396557,1,Huff and ML agree
10139333,Plat,Rogaška Slatina,0.5607023861293208,Rogaška Slatina,0.5510304278805191,1,Huff and ML agree
10139341,Platinovec,Šentjur,0.3217753501275064,Šentjur,0.2414730033279364,1,Huff and ML agree
10139350,Ples,Bistrica ob Sotli,0.052086474953368524,Rogaška Slatina,0.0819501006921733,0,Huff and ML disagree
10139368,Podčetrtek,Podčetrtek,0.9874167209621778,Podčetrtek,1.0,1,Huff and ML agree
10139376,Podplat,Rogaška Slatina,0.49095114853413535,Rogaška Slatina,0.4206920711535115,1,Huff and ML agree
10139384,Podsreda,Kozje,0.13283200561639952,Kozje,0.1782947171165048,1,Huff and ML agree
10139392,Podturn,Rogaška Slatina,0.40785871649238636,Rogaška Slatina,0.3812665838961221,1,Huff and ML agree
10139406,Poklek pri Podsredi,Krško,0.10348468543155832,Krško,0.1824249674624124,1,Huff and ML agree
10139414,Polje ob Sotli,Podčetrtek,0.07331636232353843,Podčetrtek,0.1111159984740998,1,Huff and ML agree
10139422,Polje pri Bistrici,Bistrica ob Sotli,0.22709961421213648,Bistrica ob Sotli,0.1579685504587189,1,Huff and ML agree
10139449,Polžanska Gorca,Rogaška Slatina,0.16716465675193048,Šmarje pri Jelšah,0.1387417024271153,0,Huff and ML disagree
10139457,Polžanska vas,Rogaška Slatina,0.2155839534728474,Šmarje pri Jelšah,0.1711766142768647,0,Huff and ML disagree
10139465,Predel,Šmarje pri Jelšah,0.33562918596143354,Šmarje pri Jelšah,0.4249964344422154,1,Huff and ML agree
10139473,Predenca,Šmarje pri Jelšah,0.7429166744633804,Šmarje pri Jelšah,0.8782460607942103,1,Huff and ML agree
10139481,Prelasko,Podčetrtek,0.14552114778109523,Podčetrtek,0.2002038823495363,1,Huff and ML agree
10139490,Preloge pri Šmarju,Šmarje pri Jelšah,0.47463676738736604,Šmarje pri Jelšah,0.5394949051659612,1,Huff and ML agree
10139503,Pristava pri Lesičnem,Podčetrtek,0.07008220607811899,Podčetrtek,0.0997950723208101,1,Huff and ML agree
10139511,Pristava pri Mestinju,Rogaška Slatina,0.3704183618463408,Rogaška Slatina,0.3210110408952115,1,Huff and ML agree
10139520,Pristavica,Rogaška Slatina,0.648891445380836,Rogaška Slatina,0.7496471171477144,1,Huff and ML agree
10139538,Prnek,Rogaška Slatina,0.7626801740086296,Rogaška Slatina,0.8780242294518159,1,Huff and ML agree
10139546,Pustike,Rogaška Slatina,0.26550458600703236,Šmarje pri Jelšah,0.2273999982164294,0,Huff and ML disagree
10139554,Rajnkovec,Rogaška Slatina,0.7365148075366487,Rogaška Slatina,0.8445380149224094,1,Huff and ML agree
10139562,Rakovec,Šentjur,0.17285759878122897,Šmarje pri Jelšah,0.2307846223269937,0,Huff and ML disagree
10139589,Ratanska vas,Rogaška Slatina,0.7421748464523691,Rogaška Slatina,0.8435166123135581,1,Huff and ML agree
