fold,r2,mae,rmse,n_test,wall_time_s,wall_time_note
1,0.8751903109968457,0.0012864707429440182,0.009212317860296112,368196,889.2799651622772,
2,0.9048962518325151,0.0023969600211253073,0.012574910314338952,205224,1142.9043226242065,
3,0.8588925111097774,0.002615588480738386,0.014432787970528342,138828,1224.1291093826294,
4,0.8951740569220955,0.0017163440741066597,0.009069014727950598,313872,1009.5315444469452,
5,0.6943189101167327,0.003868303008212703,0.02047283440052711,253512,1047.4597265720367,
