Muni_ID,Muni_Name,dist_ATMs,dist_All_airports,dist_Archaeological_site,dist_Artwork,dist_Bakery,dist_Banks,dist_Bike_rental,dist_Bike_shops,dist_Book_stores,dist_Bus_Industrial_Zones,dist_Bus_stops,dist_Camp_sites,dist_Car_rent,dist_Car_wash,dist_Chapels,dist_Cinemas,dist_Clinics,dist_Clubs_bars,dist_Community_center,dist_Currency_exchange,dist_Dentis_offices,dist_Doctors_offices,dist_Faculties,dist_Fast_food,dist_Fire_stations,dist_Fitness_C,dist_Gas_stations,dist_Gift_shops,dist_Higher_Courthouses,dist_Hostels_motels,dist_Hotels,dist_Hunting_stand,dist_Kiosk,dist_Libraries,dist_Marketplaces,dist_Museums,dist_Nursing_home,dist_Outdoor_shop,dist_Parkings,dist_Parks,dist_Playgrounds,dist_Police_stations,dist_Private_schools,dist_Public_toilet,dist_Railway_Stations,dist_Recycle_Bins,dist_Religious_buildings,dist_Restaurants,dist_Shoping_Malls,dist_Sport_shops,dist_Sports_hall,dist_Stadiums,dist_Supermarkets,dist_Swimming_pool,dist_Theaters,dist_Thematic_Shops,dist_Tourist_info_points,dist_Town_hall,dist_Vending_Parking,dist_Veterinarian_Offices,dist_arhivi,dist_avtosole,dist_bolnice_ok,dist_dijaski_studentski_domi,dist_furs,dist_klinicni_centri,dist_kulturna_dediscina,dist_lekarne,dist_okrajna_sod,dist_okrozna_sod,dist_osnovne_sole,dist_poste,dist_pristanisca,dist_srednje_sole,dist_turist_objekti,dist_univerze,dist_vrtci,dist_zdrav_domovi,dist_Embasy_consul,dist_Main_Courthouse,dist_School_of_arts,dist_School_of_music,dist_Travel_agencies,dist_sazu,dist_sodisca_osm,dist_zoo
11026923,Izola,206.73615627172222,24169.48875373666,1470.6728203334173,326.6987787991309,275.86247060446357,5863.34625784781,275.86247060446357,359.1806453121511,415.51826411766353,979.1436944096772,223.3316704328299,2833.8797417873316,892.5775362487791,937.1904192196296,2554.9325960762444,6672.443509123014,47335.05034588362,298.7797090562899,5389.505350586566,59864.97663044832,9469.818081572555,11145.252492987816,6328.68954797196,134.34493827417245,13512.405611122877,1091.4778040121882,795.9373051966505,6166.9459700651405,6541.733079524012,362.86389195044904,1472.9141436961527,3780.867372131401,254.44077817383146,6563.1617352185785,422.2166874376769,1480.7213789524942,77458.54203089219,62430.06474346056,96.19955291576862,577.9663759445627,1091.4778040121882,6304.013587901558,6507.205448985394,359.1806453121511,6819.744392203999,4448.856206028687,7986.072251186039,53.487280304003626,5875.589696634106,359.1806453121511,7695.904267093068,808.6777407268473,182.42519413982524,4753.581003197262,6724.097906784415,227.1954005857129,283.3891125149367,13730.089505237092,298.72241345459605,8016.142256951935,6693.345865135221,383.0398461416863,3126.4395896406904,528.9542566583624,5745.800571590949,1897.0885305613765,48.57107823464284,596.0334925331608,6541.733079524012,6541.733079524012,471.98578083258735,206.73615627172222,6958.848944032103,376.3704017276404,134.34493827417245,6593.152084911346,471.98578083258735,596.0334925331608,106822.34475741586,107541.6549084876,196003.70348510245,87372.749136678,208902.58850158154,106797.24360465574,88053.29084546852,106441.85059398155
11027776,Koper,295.1786728474071,18949.578283310457,5124.707302072206,400.5236439344166,227.4898508971562,295.1786728474071,378.3591950444034,577.940678556015,442.2563737008694,1510.923879923473,306.8441980060015,6783.568770440858,486.9416033751119,1278.7976723940108,2913.22700042244,1055.6195428600286,42115.13987545743,99.02421134040976,366.1328361064375,54645.06616002215,15385.583344279456,16163.158589275832,978.4868410489654,479.679878960387,8292.495140696668,598.3755007677966,1275.5875333623121,99.02421134040976,671.8587389118925,336.519533217133,776.0387891706725,9696.632634838299,1120.5261793664558,740.5722869141737,980.3566889285294,672.9332435875513,72238.63156046596,57210.154273034364,461.17647541975526,225.61909646595808,836.3196390903726,953.8108809785639,512.1978245488923,798.8417061528492,1529.7793907671664,10364.621468735586,5673.045729391938,99.02421134040976,764.6951176299272,577.940678556015,7407.936246266293,479.679878960387,514.8916552094304,2234.752318609367,1067.90358804298,607.5354460504931,342.63546901519743,7735.815626236655,594.2444295175536,2943.5082482281714,698.3382406987205,571.7881946941512,4047.2829441066615,512.1978245488923,663.9317884542053,5410.5286988637035,0.0,776.0387891706725,671.8587389118925,671.8587389118925,512.1978245488923,426.0002003713015,963.8413195956011,512.1978245488923,0.0,1242.9493779883524,99.02421134040976,704.5645744631123,101602.43428698965,102321.74443806139,190783.79301467625,82152.83866625179,203682.67803115537,101577.33313422953,82833.38037504228,101221.94012355534
11027997,Piran,2241.4464485217854,33422.226225516606,7920.673219124458,2241.4464485217854,2675.045281170525,3040.411593628519,4625.154960593662,2571.7671358758394,4258.400005216804,5432.073143098198,553.8649535804312,6009.446591045379,10154.758467897642,5311.260438246891,1674.0920802421722,15925.864177199657,56587.78781766352,2241.4464485217854,14641.17453902813,69117.71410222827,776.5786633568106,8499.049960426955,2234.9491483878614,2675.045281170525,22765.143082902807,8759.909125428943,10058.118236845512,2739.7859615355405,15795.536778153642,101.97867195087042,1677.0777576670514,6080.259315389751,3040.411593628519,3022.2061722022504,2946.0542487330385,314.53368421643086,86711.27950267206,71682.8022152404,1243.932799603416,382.2788769922544,2336.3844828675315,2695.188118572038,729.5921358691593,1144.80779025293,16073.165060280644,335.7364716957802,16700.023505931124,34.97884125822546,4678.408592191541,2571.7671358758394,2142.608386380109,354.4893159971191,1667.11983102157,2336.3844828675315,15977.901605414037,4591.044623658956,1257.8326612521478,22983.893203866715,1241.4612036771346,17267.811445393498,15947.149563764844,4770.2023718524315,12420.668989688296,2186.027391416867,14999.604270220576,11167.355147214352,34.16841241271995,2719.8828014496885,3060.8895299926403,15795.536778153642,729.5921358691593,2670.775774211102,16212.65264266173,34.97884125822546,34.97884125822546,15846.955783540972,262.7814618513345,4337.139406786485,116075.08222919574,116794.39238026748,205256.44095688226,96625.48660845788,218155.32597336135,116049.98107643562,97306.02831724842,115694.58806576143
24063526,Ankaran,200.92277722877463,18017.240596534793,5595.301312727818,1779.368741395342,120.60178360883397,0.0,6378.386870089808,6573.081997583075,6854.3981879639205,4037.1932895656464,134.27090969647483,271.2312526365727,6394.143480860945,7004.959136385891,6608.725421182675,6309.369340428822,41182.802188681766,0.0,641.2859977760837,53712.72847324649,21796.991413106443,22574.566658102816,7138.319323531572,6423.206894820715,7535.596230286479,6394.143480860945,7001.748997354189,6657.721853793802,6223.114670579535,794.3868763073556,983.0102021295493,12349.986952267878,6717.172752281671,6285.380203550945,7140.189171411135,6185.133026379488,71306.29387369027,56277.81658625869,0.0,1291.22925530103,6189.297154022933,6883.888050669563,6527.992208607825,922.8491019874266,6783.529188335963,16776.029537562572,10254.02788338513,0.0,5639.683959398599,6394.143480860945,5192.755454255014,6674.405288863589,5639.683959398599,8646.160387436354,6790.617113878056,6309.369340428822,185.89460186590435,3217.7626550011228,70.08881924171338,1776.9725766991685,6333.248343698081,6503.972867243616,1070.6820657557962,5780.7183032444655,7019.047178512598,11821.936767690691,415.748492911309,0.0,6223.114670579535,6223.114670579535,256.0444182680948,103.27339400781379,5805.878169303344,6303.25485587514,185.89460186590435,7402.781860470958,436.9305746373635,6447.378339341848,100670.09660021395,101389.40675128569,189851.4553279006,81220.50097947608,202750.34034437969,100644.99544745382,81901.04268826662,100289.60243677963
11026516,Ajdovščina,221.08010987541448,1096.6592352553973,23055.220438749988,724.7456594210425,299.6397832959955,242.20182467279116,13742.744679580761,269.4039998445436,206.02379628140906,393.84456291512515,269.4039998445436,682.4742714072056,558.4732508556717,1178.8704514493852,1803.5105864399563,38222.619874797216,22642.10856308508,259.36242859866644,5664.579796483906,54908.234097304405,20715.967123993196,14342.898163256941,7236.864283846923,784.0564952297251,23404.433765099267,22097.136441618793,1516.526021687619,24532.74979634926,58262.43314376257,1430.5698203589018,403.9915211737178,4486.282359596138,23610.754745007376,5083.405712503946,5677.809675660321,18813.164993283433,47306.04240160918,33501.0156094289,191.09697880582107,89.8334677258755,10866.644567286774,23390.234626139714,23382.809325093935,1178.8704514493852,13635.533706729786,37472.00961602363,24540.040390737635,89.8334677258755,1407.6614983555892,269.4039998445436,682.4742714072056,24264.122429750754,206.02379628140906,51766.1100942147,14403.339202244206,0.0,268.9456920677618,20631.953269457914,13742.744679580761,827.7032333686054,23667.161119438108,184.11257141542725,21961.43994852478,654.3084021459184,23620.840694571885,21961.43994852478,221.86768672907206,357.1141970473431,295.52192405650476,23441.98222794929,609.7680146364521,191.09697880582107,62310.350502412184,654.3084021459184,654.3084021459184,23448.82140297555,383.8924401646615,440.12822456973305,61188.38720777525,61907.69735884698,150369.7459354619,41738.79158703732,163268.630951941,61163.28605501516,24467.336615041357,60807.89304434095
11026524,Beltinci,400.9022642794112,10636.390697440365,42817.712788206874,7172.496226511153,8134.744237757834,8857.303221880129,8445.83791731762,8073.587386479998,9338.714410467841,1828.045812199192,490.4080120430691,10064.255876449,7890.9014955228695,1085.564476767106,965.6524824101972,10487.197758328246,22161.471899583183,400.9022642794112,2944.0136598909216,19544.33967516197,7275.358307744646,8511.961678328264,43572.914542483595,7785.187538479156,2615.316628573702,8899.017293879106,20319.382332450437,4276.173421568074,53205.43569611318,404.42156492864234,8894.087098003862,10851.138093799542,8899.017293879106,400.9022642794112,444.02330482551065,9572.351806721803,50279.92717538498,37249.9315338048,4029.1989401352653,2803.950768558557,9773.48982445095,21327.521171028704,9762.581922846959,7244.965913879217,3134.3186614750066,4962.196693088934,9572.351806721803,492.34429576367654,8806.6352175592,8161.561181112617,20038.674581706844,8505.886482385435,4370.846600076966,9931.393493714699,43175.447893471115,603.4103496886466,3437.310285574282,4315.185664973088,6826.431068334597,42851.86728298189,43671.033526481915,1176.4758928234285,6826.431068334597,9209.491650644242,8358.396466254482,6826.431068334597,114.93392584896493,733.1170696888521,8534.201907543984,8534.201907543984,608.4530012796906,508.16548431792893,270462.9212232631,6641.633782714737,921.6911136873762,54414.75678629285,643.3664718055363,9706.171667524113,166375.70869796778,169067.28936442902,6181.4402129413265,30348.133104482993,15684.310708675099,170318.0648496785,16768.88619049361,172140.3395751644
11026532,Bled,128.9049492473781,34267.08749154354,8548.638591072902,648.8145414000126,133.8326365390767,480.19668569393565,572.1488971131078,2518.723669349809,478.3679500168378,532.2715096563184,0.0,2606.222995600753,3979.4333565387196,269.540075536062,459.58984790971004,6002.612212846413,20718.28528106902,0.0,29288.8430382133,50877.23518862356,5963.346101202779,19128.7051659392,24466.37629131955,478.3679500168378,2036.7122959850558,36066.965699332344,7655.183743427969,604.3265090647296,50660.39434960972,157.07727160173476,294.63669087807455,2831.3864818748057,6238.02720019392,14184.86608397643,6217.109959390473,6505.7481721875065,54455.383011990336,422.21295593740217,81.39781779300584,840.9190438911006,1912.8966332888408,13692.615051485116,898.2387193301407,469.4165219483834,3117.035004209642,34234.21561983403,743.681662726026,61.72222158175265,648.473534179101,81.39781779300584,19530.148036551825,12803.397478818428,325.1212410328508,1912.8966332888408,648.8145414000126,3966.8755920085723,81.39781779300584,17599.956616362168,294.88346951449694,47155.50505950096,50757.07710247658,11320.972611198802,15664.512498469972,367.7109977765331,25212.919967372745,15664.512498469972,0.0,478.3679500168378,6092.026200324508,25489.037983831367,859.0421536851047,311.7708359091218,148114.21399879723,6021.0022784821,100.9021185550123,51770.06180793447,343.53594643786937,25017.24663279823,25212.919967372745,50780.59941477599,120469.34873132709,25947.16698561433,133368.2337478059,51607.13658476334,14249.640849225676,50955.28247000846
11026559,Bohinj,226.46762103607273,54451.39111432189,1194.860516939119,139.3829551817838,213.33500042243142,226.46762103607273,19729.804722121757,6086.493915547813,19916.775681171912,748.9608182324168,205.7001022822132,12694.85924776406,24163.736979317047,20453.843698314387,46.592869219609284,26186.915835624735,416.3316618341492,175.10825568580248,46952.32704504915,66837.8510790362,26147.649723981107,39313.00878871753,44650.67991409789,6003.105787429876,1783.8730400256281,45925.0869433158,27839.487366206293,14282.667512277107,66621.01024002241,160.63184890088164,6063.75345506638,3741.9508026003296,191.74011422843193,323.6066835833159,161.9861968752092,7661.172904158862,70415.99890240295,19879.740663297463,222.25515357320197,467.6466223946619,268.69295532185413,205.7001022822132,20930.24267513823,569.2103272329379,575.617531055584,21710.114486677354,20674.782611773826,171.57416601954705,20106.001241539165,6086.493915547813,39714.45165933016,32987.70110159675,191.74011422843193,21928.05352565231,20579.915490447813,191.74011422843193,46.592869219609284,37784.26023914049,5300.189256354724,40075.971057252515,66717.69299288922,31505.27623397712,34390.02377551518,20382.867890140005,45397.22359015108,34390.02377551518,46.592869219609284,338.00324922115004,26276.329823102828,45673.341606609705,283.1832807810281,226.46762103607273,148096.1113753683,26205.30590126042,66.86288770837126,67730.67769834712,327.64580788184804,45201.550255576556,45397.22359015108,66741.21530518866,140653.65235410543,45728.119266570495,153552.53737058435,67567.75247517599,32975.15212627089,66915.89836042114
11026575,Bovec,189.56024691087623,84401.82223647796,14909.11343766568,2517.721773035607,482.86080889994906,216.51390388738886,419.5556612910296,21114.637724565062,35272.26519409946,1177.1738117896143,119.88350554607179,1267.1737539605303,20899.32642139448,68459.43583989197,481.64606220423474,67992.44496188677,70672.68908309632,119.88350554607179,75308.849499172,121101.94482081528,35327.56243109195,51025.99465027429,90973.68595126052,189.56024691087623,35641.84033992397,45193.39381040479,68723.64554924725,34937.03474148376,119526.53296490523,68.13148235015652,10643.978487693692,5318.2722946145,67476.56392459555,50282.35614996529,34433.99826352808,2638.927892267387,116929.94067802044,289.8571181392986,399.12712048148455,296.1985223791281,189.56024691087623,67714.31130570553,35672.54376515167,298.818006697943,41461.12664352111,78.12380813901224,16480.462154928486,51.37113213995304,1123.95422990286,324.5912246833733,40157.88364909926,70030.91453144989,119.88350554607179,80159.01078583054,68408.9973097425,20224.63873667021,119.88350554607179,201.90850799905704,3542.1800387208427,35074.96463581978,69860.351326761,54160.73799350007,65978.3699246062,35869.665437439435,69814.03090189476,65978.3699246062,0.0,235.878213696724,35323.374583674406,69635.1724352722,325.5604698839801,177.5826038081193,146047.17216982562,35672.54376515167,28.07571410784424,71923.66347576212,442.0903132061151,35340.025964413464,100687.01076628656,121005.30904696773,195942.978005722,101421.25778452812,208841.8630222011,121831.84621695506,35323.374583674406,121179.99210220021
11026583,Brda,194.40991609342825,38300.79871990531,28728.690936669635,14668.60862281769,14633.047053676612,208.18496905646958,14506.991728292005,16197.638743189198,16793.651333568832,812.453977656029,714.4837310247374,1913.2371919944817,15428.321608826212,17105.756616329276,820.0966303678894,76442.45752310014,17443.78523701005,714.4837310247374,22296.582266908452,93128.07174560739,16012.327547807181,5357.63951065238,45670.51554395639,3068.0226062968572,14594.401975467104,17218.537116266823,19255.391839554464,3068.0226062968572,97252.9810984247,1023.2567737703484,3843.9248823513635,5008.425573510821,16575.041106244014,9670.613897584453,16596.811297663633,3068.0226062968572,86296.59035627113,67304.25049259393,279.8768480474263,399.015703366936,15894.9563033593,8861.602992914217,16763.46633112885,1348.3981275431906,11186.925682151696,28210.065900346486,40770.1474893706,1212.5401735084401,17132.176812016267,14699.976095082704,15747.228631169077,16802.010685363628,1356.1698606072152,76361.6634478226,24730.907858081042,2721.5496164400156,1929.2061019461878,16599.561758069332,16259.59195183465,16460.9761339202,16631.447480674746,13574.262873033409,20389.16443891683,17190.27431946142,16585.127055808523,20389.16443891683,194.40991609342825,194.40991609342825,16961.840330665837,16406.26858918593,412.5781502349298,228.6223563778434,97846.27703985013,16658.766141271604,194.40991609342825,18911.396243498562,412.5781502349298,16523.556286852654,100125.05544509235,100898.24531350908,189360.293890124,80729.33954169948,202259.1789066031,100153.83400967722,16961.840330665837,99798.44099900303
