feature,importance
dist_to_muni,0.6253523155251852
GI_AHP,0.22826211815769862
n_Companies,0.00899284229537392
nacc_Recycle_Bins,0.007824602637953891
n_Area_km2,0.007396507528698468
nacc_Theaters,0.0055821592391397225
nacc_univerze,0.004929037894859217
n_Addresses,0.004655813929221202
n_Population,0.004340327426420284
nacc_Hostels_motels,0.003968545238724497
nacc_Hotels,0.0034870785615335547
n_University,0.0030083005900579784
n_Dorms,0.0029881228416554885
nacc_Faculties,0.002711954381013952
nacc_zdrav_domovi,0.002382637349051246
n_Veterinary,0.002281561108482163
n_Parking,0.0022487351243636
nacc_Higher_Courthouses,0.0021632996428449054
nacc_okrozna_sod,0.0019076560332478391
n_Density,0.001862675310652979
n_Thematic_S,0.0018604377000076989
n_Bike_paths,0.0017823551101454013
nacc_Public_toilet,0.0017727060937901655
n_Railway_St,0.0016931330001438115
nacc_zoo,0.001596490923932533
nacc_Marketplaces,0.0015806230489188284
nacc_sazu,0.0014842427912372304
nacc_Stadiums,0.00143873567728253
n_Reg_Court,0.001392239288647191
nacc_arhivi,0.0013535804526058994
nacc_All_airports,0.0013386860575202793
n_Apartments,0.0011762541194110733
n_Roads_L,0.0011349793338228313
n_NumberDr,0.0011263908242659718
n_Hostels,0.001076311786450254
n_Bus_stops,0.0010460413027122153
nacc_okrajna_sod,0.0010425534911932452
nacc_Community_center,0.0010417182399356905
nacc_Swimming_pool,0.0010382088754189477
n_Railway_L,0.0010114824626014818
n_Supermarke,0.0009893097518383312
nacc_Car_rent,0.000986028059230919
n_PCHeritage,0.0009459160371571429
nacc_Cinemas,0.0009002565754065658
nacc_Currency_exchange,0.0008380250716028534
nacc_furs,0.0008288439879669275
nacc_Main_Courthouse,0.0008228980693527462
n_Artwork,0.0008225574390475535
nacc_Book_stores,0.0008095074770845749
nacc_lekarne,0.00079850703370205
nacc_dijaski_studentski_domi,0.0007962820557409076
nacc_Travel_agencies,0.0007776444087405596
n_Local_Cour,0.0007672251731659066
nacc_Gift_shops,0.0007665870338110448
nacc_School_of_arts,0.0007634214594258288
n_Kindergard,0.0007217758001445611
nacc_Dentis_offices,0.0007156565757865409
nacc_Nursing_home,0.0006797387201419779
n_Sport_Shop,0.0006695782781992296
nacc_Clinics,0.0006310410220067536
nacc_Kiosk,0.0006218767485977213
n_Parks,0.0006206509041278821
n_Apartme_OS,0.0006101338795558263
nacc_Bike_rental,0.0006016186084857245
nacc_klinicni_centri,0.0005675361035201063
n_Tur_inf_p,0.00054985627426562
nacc_Outdoor_shop,0.0005339491035869011
n_Restaurant,0.0005305543099558425
nacc_Supermarkets,0.0005143491711888293
nacc_Fast_food,0.0004906974655986601
n_Finance_of,0.00048234662345930353
n_Primary_Sc,0.00046085397757199433
n_Clubs_Bars,0.0004524049985684236
n_Post_offic,0.0004519989067994605
nacc_Private_schools,0.000450497591280025
nacc_avtosole,0.0004400771995489763
n_Students,0.0004362595211362272
nacc_Doctors_offices,0.0004328835743949595
nacc_Veterinarian_Offices,0.0004313962209773673
n_Emb_Consul,0.00042644152364853095
n_Museums,0.0004245229938445995
n_Libraries,0.0004195060864440786
nacc_Parkings,0.00041733624185174065
nacc_Car_wash,0.00039748040417819186
n_Archives,0.0003916698324239346
nacc_srednje_sole,0.0003858112023482679
nacc_bolnice_ok,0.00038113228763720166
nacc_Museums,0.0003780613041118496
n_Bike_Shop,0.00037374931875935234
n_OvernightS,0.0003598083829163402
n_Enrolled_K,0.0003502096138491119
n_Parking_V,0.0003482921034717233
n_Second_Sch,0.0003471854759190886
nacc_Fitness_C,0.00034448762778890423
nacc_Gas_stations,0.0003434946265541508
n_Clinics,0.00034285627144413973
n_Employ,0.00034202740291378313
nacc_School_of_music,0.00034045648951793676
nacc_Sports_hall,0.0003383055933630373
nacc_turist_objekti,0.0003355015541235617
n_Tur_arriv,0.00033086093766534423
nacc_Libraries,0.0003307813162028311
n_Hunt_Stand,0.00029374092516523226
nacc_Police_stations,0.00029090973975488355
n_Car_Rent,0.0002806226510351178
nacc_Bus_stops,0.0002758066810848612
nacc_Embasy_consul,0.00027481290969660465
n_Dom_zdrav,0.00027285591846558225
nacc_osnovne_sole,0.00026897929978440853
nacc_ATMs,0.0002684011157834199
nacc_Sport_shops,0.0002660464521634518
n_Playground,0.0002585981739802481
nacc_Railway_Stations,0.000257202531859822
nacc_Bike_shops,0.0002495728804439082
n_Gift_Shop,0.0002475634602410729
n_Dentists,0.00024595884758478345
nacc_Vending_Parking,0.00023981854351990705
nacc_Restaurants,0.00023884326111008706
n_Book_Store,0.0002368629336661259
n_Banks,0.00023503440735786027
n_ATMs,0.0002327597577402321
n_Arch_Site,0.00023209474963390453
nacc_Hunting_stand,0.0002264180802859964
nacc_Camp_sites,0.00022588821035134194
n_Gas_stat,0.00022086102053532416
nacc_Archaeological_site,0.00021947234221495062
n_Cinemas,0.00021887309478758936
nacc_poste,0.00021860558027284724
nacc_Chapels,0.0002059082527639843
nacc_Playgrounds,0.0002058474062732641
nacc_Banks,0.00020569275614870045
nacc_Bus_Industrial_Zones,0.0002056226379757838
n_Main_Court,0.0001979457338257773
n_Hotels,0.0001932136466083904
nacc_Thematic_Shops,0.00018739941775642232
nacc_Bakery,0.00018691092631012966
n_Fast_food,0.00018642042485933082
n_Enrolled_S,0.00018261489636298064
nacc_kulturna_dediscina,0.0001704893899072679
nacc_Shoping_Malls,0.0001699660461591382
n_Bakery,0.00016752559117200959
nacc_Clubs_bars,0.0001638584825229956
n_Chapels,0.00016082720171168406
nacc_Religious_buildings,0.00015646491626124275
nacc_Town_hall,0.00015375621594318267
n_Pub_Toilet,0.00015173954085763675
nacc_Fire_stations,0.00015070802140362577
n_Rec_Bins,0.0001345156963149761
n_High_Court,0.0001333716499271203
nacc_Artwork,0.0001298615597460861
n_Ind_B_Zone,0.000124187179141615
nacc_Parks,0.000122383609958783
nacc_sodisca_osm,0.00012013784242235512
n_Kiosk,0.00011760339186125086
nacc_Tourist_info_points,0.0001126617981484881
nacc_vrtci,0.00011175637040251475
n_SAZU,0.00010970363190064038
n_Religion_B,0.00010484281366030818
nacc_pristanisca,9.241451945115445e-05
n_Outdoor_S,8.619974555637032e-05
n_Bike_Renta,8.023944564246396e-05
n_Shp_mall,7.519015074659491e-05
n_Pharmacy,7.274581855522299e-05
n_CommunityC,6.828718642602902e-05
n_Enroll_Pri,6.680591011119343e-05
n_Stadiums,6.617055934847e-05
n_Faculties,6.547833388506051e-05
n_Camp_Site,6.480404660415269e-05
n_Fitness,6.11185395626588e-05
n_Town_hall,5.52700920381009e-05
n_Driving_sc,5.4752757092452926e-05
n_Car_Wash,5.397180944229906e-05
n_Privat_Sch,4.8799172744983714e-05
n_Sport_Hall,4.213501227512328e-05
n_Fire_stat,3.978328843098581e-05
n_Police_sta,2.8663432818162817e-05
n_Doctor_off,2.6390991219991245e-05
n_School_Mus,2.44112681302606e-05
n_Airports,2.369796235476294e-05
n_Hospitals,1.736702497905205e-05
n_Swim_Pool,1.6627084437648793e-05
n_Marketplac,1.6189483482634337e-05
n_Theater,1.3770810914690547e-05
n_Travel_A,1.0098697518187214e-05
n_Seaport,5.48694160816902e-06
n_School_Art,3.82615234320343e-06
n_Nursing_H,3.4770125192872866e-06
n_Exchange_C,6.703859071619381e-07
n_Zoo,4.34547653789399e-07
