Village_ID,Village_Name,dominant_municipality,dominant_Pij,dominant_dist_m
10095379,Sušica,Ivančna Gorica,0.2763476279980645,6619.921917644471
10108489,Gobnik,Ljubljana,0.175592544595363,11888.931011501138
10095816,Vodice,Ljubljana,0.3008415746185434,5641.168852554271
10095000,Pokojnica,Ivančna Gorica,0.24299713549108617,6808.253315774627
10092914,Kobilščak,Radenci,0.34425126501364206,2886.2468401304154
10091411,Prevalje,Ljubljana,0.30052189021423914,2992.2631048809367
10116228,Lukačevci,Murska Sobota,0.5861914178593411,4055.0032181783517
10103894,Brlog,Brežice,0.28687715408022296,9556.196134871507
10108845,Kostanjevica,Ljubljana,0.11254272778000544,6013.266992990942
10130018,Roženberk,Ljubljana,0.09430960689334413,4178.055028647396
10138965,Kačji Dol,Rogaška Slatina,0.537857082313046,5202.692159941339
10142555,Gorenje Ponikve,Trebnje,0.5670480052880559,3650.1291177729313
10143063,Meglenik,Trebnje,0.47262106660887016,4629.598513688408
10142318,Dolenji Podboršt pri Treb.,Trebnje,0.7100762925229807,2702.0848017647095
10143489,Rodine pri Trebnjem,Trebnje,0.5080039298846571,4257.618330291026
20886951,Trstenik,Ormož,0.30657973956971074,7685.166751161118
10145929,Razbor pri Čemšeniku,Ljubljana,0.14969363546537315,9849.466556284133
10124662,Lešje,Majšperk,0.4735276709290988,1750.6826726197583
10123496,Predjama,Postojna,0.3835402580733283,10594.861509842505
10128706,Pugled pri Karlovici,Ljubljana,0.28193977604615106,5844.660522350229
10128161,Črni Potok pri Vel. Laščah,Ljubljana,0.30293868833167253,7775.5921156761015
10142024,Bruna vas,Mokronog-Trebelno,0.37901447985098247,1959.0742408337808
20021721,Pavičiči,Črnomelj,0.605902546858603,6269.340985302446
10132541,Srednji Dolič,Velenje,0.16407097137649745,5255.596966334147
10117852,Orehovlje,Miren-Kostanjevica,0.6238970980520259,2401.784235666585
10117976,Prvačina,Nova Gorica,0.31358167907224127,5099.490276705118
10087724,Lovranovo,Ljubljana,0.23321687012913483,7014.732089806231
10100755,Rake,Ljubljana,0.18100740571392931,16843.508394564175
10088895,Deskova vas,Črnomelj,0.17998800468629922,17257.857593652916
10124298,Gorca,Ptuj,0.35484479575454686,2245.650886373084
10139716,Olimje,Podčetrtek,0.31418157537316976,4340.86577723146
10117488,Kal nad Kanalom,Nova Gorica,0.24893351950015263,14605.306311215929
10107458,Spodnji Gasteraj,Lenart,0.31411085865098426,2830.8653107829223
10107466,Spodnji Porčič,Lenart,0.6328481401755163,2585.102387248363
10126029,Novinci,Ptuj,0.17092976505162624,2787.1429918819667
