feature,importance
dist_to_muni,0.6927176252324679
GI_AHP,0.13331569935176366
n_Area_km2,0.03451664091543293
n_Addresses,0.01374009283342538
n_Population,0.011382666701866249
n_Companies,0.008018102350307525
nacc_Theaters,0.004901837277168778
nacc_Recycle_Bins,0.004597507559859995
n_Parking,0.004200855040445281
n_Hostels,0.00388547221170243
nacc_Hostels_motels,0.0033637782188796735
n_Restaurant,0.0029081263502743907
n_PCHeritage,0.002454039601973633
nacc_Faculties,0.002423650125555996
n_Bike_paths,0.0023773589447940147
n_Apartme_OS,0.002330216850200844
n_Roads_L,0.0019356350481138714
nacc_Stadiums,0.0018496823791233955
nacc_arhivi,0.0017943019042544945
nacc_Higher_Courthouses,0.0017544623587471334
n_NumberDr,0.0016893562238898155
n_Supermarke,0.0016296858522803202
nacc_Hotels,0.001304010251146969
nacc_lekarne,0.0011893208049129345
nacc_zdrav_domovi,0.0010849414551824792
n_Hunt_Stand,0.0010740377809324584
n_Enroll_Pri,0.0010708090557554827
n_Artwork,0.0010621741224394459
nacc_Travel_agencies,0.0010600568235036203
n_Density,0.0010111088692376724
nacc_sazu,0.0009563512581543842
nacc_Supermarkets,0.0009550577737111914
nacc_School_of_arts,0.0009501633247148355
n_Parks,0.0009295746731568246
n_Tur_arriv,0.0009147270805455068
n_Enrolled_K,0.0008962901672522408
nacc_Clinics,0.0008601441478970839
nacc_univerze,0.0008274958994730304
n_Primary_Sc,0.0008020111868931642
nacc_Public_toilet,0.0008007953913847518
n_Rec_Bins,0.0007921001200463043
n_Railway_St,0.0007846925840903097
nacc_All_airports,0.0007779140868323946
n_Thematic_S,0.0007776456036288624
nacc_Community_center,0.0007688056785637786
nacc_Nursing_home,0.0007267532624130983
nacc_Main_Courthouse,0.0007094091386053821
n_Railway_L,0.000702011527084263
n_OvernightS,0.0007018664292291204
nacc_zoo,0.000699537258643913
nacc_Marketplaces,0.0006588371992014628
n_Sport_Shop,0.0006530929468575614
nacc_Archaeological_site,0.0006464047980770688
nacc_Currency_exchange,0.0006420761031341764
nacc_okrajna_sod,0.0006398536837577858
n_Bike_Shop,0.0006369758589307304
n_Playground,0.0006312157779712279
nacc_Sport_shops,0.0006209371645245907
nacc_Swimming_pool,0.0006081125011294857
nacc_Cinemas,0.0006072100172783323
n_Dorms,0.000599331551288454
nacc_Gift_shops,0.0005940111176236651
nacc_Parkings,0.0005737155159034257
n_Post_offic,0.0005626921663350711
nacc_Banks,0.0005415608074789246
nacc_Book_stores,0.0005151533767693204
nacc_Kiosk,0.00051028824184612
nacc_Embasy_consul,0.000505776594032366
n_Bus_stops,0.0004929655547859359
n_Banks,0.0004852350174125497
n_Pub_Toilet,0.0004838960148454452
nacc_sodisca_osm,0.0004639897155321631
nacc_klinicni_centri,0.0004623596623033927
nacc_Car_rent,0.0004619330363787143
n_Local_Cour,0.0004575459603285086
n_Tur_inf_p,0.00045753043580989825
nacc_Bike_shops,0.0004403794088440503
n_Dentists,0.000431620082874597
n_Employ,0.0004294000000314731
nacc_Private_schools,0.0004253302771290043
nacc_Fast_food,0.0004007166644576543
nacc_Town_hall,0.00039978299452645165
nacc_okrozna_sod,0.00039371002174046004
nacc_Gas_stations,0.00038055045219517346
nacc_Shoping_Malls,0.00037687960972113604
n_Libraries,0.0003650434773460196
n_Clubs_Bars,0.0003528043068787499
n_ATMs,0.00035275145175324614
n_Museums,0.00035051421583877417
nacc_Dentis_offices,0.0003453189339794519
n_Hotels,0.00034434711751511065
n_Fast_food,0.0003288819635950633
n_University,0.00032822028841992867
nacc_Railway_Stations,0.0003271722141197201
nacc_Bike_rental,0.0003203271439305101
n_Students,0.00031954998371761607
nacc_Fitness_C,0.0003163014070510036
n_Enrolled_S,0.00029812959738463623
n_Gas_stat,0.00029347468875843186
nacc_furs,0.00029194599035104114
nacc_Sports_hall,0.00029027057107060045
nacc_Police_stations,0.00028665509839010056
n_Parking_V,0.00028234900905757917
nacc_Doctors_offices,0.000280439675282071
n_Fitness,0.00027776498891138833
nacc_turist_objekti,0.0002769433300418577
nacc_dijaski_studentski_domi,0.00027589039476025133
nacc_School_of_music,0.0002701201843557814
nacc_Outdoor_shop,0.00026290397952729693
n_Marketplac,0.00026107142772044064
nacc_Restaurants,0.0002573425391876132
n_Archives,0.00025182909835969383
nacc_Veterinarian_Offices,0.0002487907167166652
nacc_bolnice_ok,0.00024298462434196245
n_Main_Court,0.00023919179589683976
n_Driving_sc,0.000238588987887295
nacc_avtosole,0.00023524739587197084
nacc_Thematic_Shops,0.0002347754317891187
nacc_Chapels,0.00023399078417766822
n_Ind_B_Zone,0.00023135070054661468
nacc_Playgrounds,0.00022150180230040567
nacc_kulturna_dediscina,0.00022112564604548826
n_Dom_zdrav,0.0002206983307911791
nacc_Libraries,0.00022065213471361673
nacc_srednje_sole,0.00022050473549588227
nacc_Car_wash,0.00022010415444601015
nacc_Bus_Industrial_Zones,0.0002190660370451003
nacc_Camp_sites,0.00021903847098484727
n_Gift_Shop,0.00021052839773977756
n_Car_Rent,0.0002081406448385616
nacc_poste,0.0002078965144547811
nacc_ATMs,0.00020556989618280056
n_Apartments,0.00020458911276908278
nacc_Museums,0.0002025270646659171
nacc_Religious_buildings,0.00019972855489032055
nacc_Parks,0.00019854131571765197
n_Stadiums,0.00019459224593499955
n_Chapels,0.00019226019841402916
n_Shp_mall,0.00019173839623281915
nacc_Bus_stops,0.0001890975330983566
nacc_Clubs_bars,0.000183336522103747
n_Bakery,0.00017967220691114203
nacc_pristanisca,0.0001781498089580633
n_Veterinary,0.00017772884089686266
n_Pharmacy,0.00017753952467469887
nacc_Bakery,0.00017583139066732913
n_Finance_of,0.0001719375439156538
nacc_osnovne_sole,0.00016172687626379718
nacc_Tourist_info_points,0.00015990368507094654
nacc_Hunting_stand,0.00015663637831859074
nacc_Fire_stations,0.00015242206647545707
n_Religion_B,0.00013787085428466688
nacc_Artwork,0.00013785284773298187
nacc_vrtci,0.000136945798861307
nacc_Vending_Parking,0.0001363429010789561
n_Sport_Hall,0.00012625380724240866
n_CommunityC,0.00011752011777516175
n_Faculties,0.00010895078670142226
n_Kindergard,0.00010671606617532893
n_Clinics,0.00010462883946733576
n_High_Court,0.00010410757151397244
n_Book_Store,0.00010271773942360745
n_Arch_Site,9.917366455077755e-05
n_Hospitals,8.737400213234131e-05
n_Theater,8.68269778019425e-05
n_Emb_Consul,8.634262430391447e-05
n_Outdoor_S,8.596035129280047e-05
n_SAZU,8.416683150962105e-05
n_Cinemas,7.907576681574037e-05
n_Zoo,7.651523005511779e-05
n_Town_hall,7.630555517265094e-05
n_Bike_Renta,7.186725050571069e-05
n_Privat_Sch,6.817764377266102e-05
n_Second_Sch,6.738496126411679e-05
n_Reg_Court,6.281733741166879e-05
n_Camp_Site,5.0597677541044005e-05
n_Car_Wash,4.959625740456081e-05
n_Fire_stat,4.457042725326349e-05
n_Seaport,3.525478439994876e-05
n_Doctor_off,3.182935727978756e-05
n_Airports,3.103806164207239e-05
n_Police_sta,3.077353561228368e-05
n_Kiosk,2.2311585899343924e-05
n_Swim_Pool,1.4492366089627164e-05
n_School_Mus,8.66904131510043e-06
n_School_Art,2.4560267402737944e-06
n_Nursing_H,1.413061381212098e-06
n_Travel_A,1.1917785421383426e-06
n_Exchange_C,1.7154748743475249e-07
