n_disagree,n_settlements,share_pct,mean_entropy_AHP,std_entropy_AHP,pct_low_entropy,pct_medium_entropy,pct_high_entropy
0,3884,64.34724983432737,0.45097362198633256,0.17647702981739782,10.22142121524202,41.529351184346034,48.24922760041195
1,0,0.0,,,,,
2,1697,28.114645460569914,0.5903432283797794,0.09760601398867305,0.0,15.96935769004125,84.03064230995875
3,399,6.610337972166998,0.647856382139416,0.06131738001238634,0.0,1.2531328320802004,98.7468671679198
4,56,0.927766732935719,0.6362747484231706,0.06112928186578066,0.0,5.357142857142857,94.64285714285714
