Muni_ID,Muni_Name,GI_Final_NotWeighted,GI_AHP,rank_NW,rank_AHP,rank_change,n_Culture_Sum,n_Education_Sum,n_Finance_Sum,n_Healthcare_Sum,n_JudiciaryAndEmergency_Sum,n_Residential_Sum,n_SportsAndRecreation_Sum,n_TradeAndBusiness_Sum,n_Tourism_Sum,n_TrafficAndCommunication_Sum,n_Finance_Weighted,n_Culture_Weighted,n_Education_Weighted,n_Healthcare_Weighted,n_Judiciary_Weighted,n_Residential_Weighted,n_SportsAndRecreation_Weighted,n_Tourism_Weighted,n_TradeAndBusiness_Weighted,n_TrafficAndCommunication_Weighted
11026923.0,Izola,0.06965305974155651,0.06606094482233194,36,33,3,0.04378218867867058,0.029108673625962055,0.010869565217391304,0.11358971044666336,0.0,0.11541547805499396,0.08010579158333385,0.14970459584692725,0.086853769636236,0.06710082432538667,0.0025,0.04165251393354753,0.015153238995481967,0.11507864760626649,0.0,0.04075856115262217,0.08106386266781375,0.07691320954250774,0.1365460076833392,0.061348813364708786
11027776.0,Koper,0.2560969808418661,0.2464963653435195,3,4,1,0.26868898671428787,0.22019171707535573,0.16772068511198945,0.15562433928381825,0.4405594405594405,0.2054559736633403,0.26215430687219293,0.2099043338453781,0.20856219421977243,0.4221078310730851,0.164609696969697,0.25468697186214423,0.2533909602282344,0.15391446736684683,0.42718170388113397,0.20081743709611188,0.2488446361701487,0.20595917814815737,0.21884398729506202,0.41917189200232363
11027997.0,Piran,0.12105168905525363,0.09358497859461389,12,19,7,0.09746072210397429,0.08329793505862025,0.03399209486166008,0.08560220560387477,0.16317016317016317,0.10304213998670786,0.1627279919324711,0.11150687288831933,0.2902003890224087,0.07951637592433677,0.023403636363636,0.08342238063540561,0.08736097424527635,0.08288920085748278,0.15533713278819417,0.059697055241498966,0.17531911710027373,0.2635516779981584,0.12126192773523818,0.05369463336006716
24063526.0,Ankaran,0.024965220636056336,0.024364151059749376,92,76,16,0.0010357695920387906,0.0038342883788828855,0.005533596837944663,0.06194690265486725,0.0,0.08131161808614867,0.022763997671708,0.01484411005563216,0.03541453496291454,0.022967388120426407,0.005169090909091,0.00013226536343877537,0.0008406231522630164,0.06522000048008834,0.0,0.06801600342413909,0.02321419343573371,0.030675862354628648,0.00779143541024721,0.014650419117851731
11026516.0,Ajdovščina,0.09409662141613577,0.07235639068963735,23,29,6,0.07359695178022509,0.05160481421984591,0.026482213438735178,0.08160771321545207,0.13986013986013984,0.10167420323165595,0.17480057476028102,0.13399586338219693,0.05103568933635954,0.10630805093646618,0.01778,0.031784375415395784,0.01694590861188265,0.0818295473339795,0.1323752099336472,0.0861342741718814,0.175080440219317,0.04350780266426736,0.10261846870595846,0.11011245623933373
11026524.0,Beltinci,0.025327154287411762,0.016349008683480576,90,98,8,0.021866246943041134,0.014648557080635357,0.003952569169960474,0.0022123893805309734,0.027972027972027972,0.09259510980539183,0.013426740787484244,0.02829985872020026,0.00999872374845094,0.038299319266394474,0.000909090909091,0.009325330224503466,0.0035884358017370093,0.00104019139521672,0.023127116544148014,0.15711233426076687,0.00877315706127713,0.011560634915714501,0.02905293416823252,0.038831262627370966
11026532.0,Bled,0.06216520877259649,0.031967222460431,43,62,19,0.06857613875159926,0.024208242404764838,0.015019762845849802,0.00663716814159292,0.027972027972027972,0.032858573946510095,0.08113398664467569,0.054526722338980926,0.24965580617953056,0.06106365850043287,0.011247272727273,0.049071024297375546,0.022695699436320816,0.00312057418565016,0.023127116544148014,0.011024336352225186,0.08717442213395027,0.22754527535534222,0.043081757893354486,0.04824159862592874
11026559.0,Bohinj,0.05508887910065259,0.030391557882743527,48,67,19,0.08621556457340913,0.007832444753722898,0.012055335968379446,0.011061946902654867,0.05128205128205128,0.02061409828648112,0.037648507767268094,0.06197777644618429,0.21007457641962693,0.052126488606747894,0.010565454545455,0.060870321003558756,0.0017121063317308265,0.010874000816150172,0.04608903939869497,0.007538880009005687,0.03067431039822915,0.18692722612226584,0.05946864326416382,0.03620508207431604
11026575.0,Bovec,0.05517620119918106,0.021864938244529532,47,81,34,0.0558480224983605,0.005925046027320444,0.00849802371541502,0.0022123893805309734,0.03496503496503496,0.013721264709390116,0.16969979346412575,0.034094161604172994,0.19701292220273658,0.029785353424723333,0.005850909090909,0.03935820205041032,0.0013529002753965,0.00104019139521672,0.031799785248203524,0.012859227745939839,0.17298658317871834,0.17652860383603378,0.030828382588058343,0.019427185549573088
11026583.0,Brda,0.01968016220293443,0.012944434005702792,110,108,2,0.01700954728042134,0.008950308039403101,0.007509881422924901,0.019911504424778757,0.0,0.02419664037068486,0.04594043116403259,0.024654961263610636,0.036220526879604496,0.012407821183883606,0.005623636363636,0.008819628983135827,0.002041165576798982,0.0211878985733375,0.0,0.008615790059758219,0.046395774098327305,0.03826964556176408,0.02249589751439945,0.005345010073074234
11026591.0,Brezovica,0.037620630710887275,0.036895364232234835,67,57,10,0.05164462271415637,0.02776706592949312,0.00691699604743083,0.053834808259587016,0.0,0.07482338446189837,0.00706881496415128,0.013742674515091109,0.028613606855644173,0.11179433336142047,0.001590909090909,0.02781430472971842,0.006296026827287034,0.054524699211321546,0.0,0.07956566652063429,0.004518468232205459,0.028011170951253876,0.006653650421895189,0.12344874993570472
11026605.0,Brežice,0.10656045061029315,0.10235759864999462,19,15,4,0.04866807064501601,0.048651816587474646,0.11277997364953886,0.11781444704499255,0.19114219114219114,0.09216551596011753,0.05932889886907078,0.1328364276933043,0.08736577873009362,0.17485138578113196,0.128595151515152,0.0161768399440905,0.01922023931793603,0.116987564313816,0.17846424933234217,0.031388850635240696,0.05920383325300075,0.07509487105371997,0.1453105345540821,0.15464390375671022
11026630.0,Cerklje na Gorenjskem,0.025577206198619508,0.016096219716325848,89,99,10,0.06627402198471732,0.014608467400248995,0.005928853754940711,0.011061946902654867,0.0,0.03453776028305648,0.021002282584821324,0.009806266600855523,0.030280037296515096,0.062272425178384744,0.001363636363636,0.030812667041980036,0.003343805093589779,0.01111404498427711,0.0,0.012471795725668812,0.013412853397942322,0.03127043883482108,0.004251999697544647,0.06812828373256367
11026648.0,Cerknica,0.07303114382905973,0.0870047331467949,34,25,9,0.07097140084414637,0.022165696070723766,0.019565217391304346,0.1613525979065331,0.1678321678321678,0.03812041696471866,0.053171684231614426,0.02731602757280885,0.05055198565000125,0.11926424382657869,0.016189090909091,0.04765152995700319,0.004767001130140546,0.17492873913978402,0.15550232647779522,0.014153582546670925,0.050964617822770196,0.046738235351414976,0.022992138429358697,0.13250762253284618
11026656.0,Cerkno,0.022160790259666188,0.02287417105092494,100,80,20,0.02008869488615947,0.01881985086661976,0.001976284584980237,0.04056047197640117,0.03496503496503496,0.01925786538280627,0.005641162332201272,0.03591211805415195,0.02554513520566698,0.01884128434263983,0.000454545454545,0.008685175888240438,0.01855680789417803,0.04237046283182772,0.031799785248203524,0.007329390588875621,0.003650676735373573,0.02452697918721606,0.019299543260391204,0.010730926659189973
11026664.0,Črenšovci,0.010047340690436144,0.005985863323872011,172,159,13,0.010160702278786706,0.006566839877814617,0.0009881422924901185,0.008267349790405215,0.0,0.043801698297809,0.004548473543299635,0.014544570784400048,0.0009954076638529683,0.01060022237550312,0.000227272727273,0.0029507759497644785,0.0014737644842399483,0.007248491617194406,0.0,0.056780599303745384,0.003158910699642539,0.0006755431709092072,0.007746674093940504,0.00872480254096049
11026672.0,Črna na Koroškem,0.03161311008726257,0.011204726172801265,73,119,46,0.06242178188561882,0.008195567349490309,0.001976284584980237,0.0022123893805309734,0.0,0.007620076242970528,0.11286110181271018,0.06861882501697313,0.046958959431875565,0.005266115167475931,0.000454545454545,0.04048346900381999,0.001899030939176591,0.00104019139521672,0.0,0.002451402456674581,0.07421424620140778,0.026738314895862956,0.046916477748094175,0.0019944294355456874
11026699.0,Črnomelj,0.07454818202852008,0.05556337324494698,31,39,8,0.0977202059790332,0.04608784420769317,0.018972332015810278,0.048439312080648785,0.17482517482517482,0.0483027601627094,0.1252767014652598,0.10164207778207339,0.031208455890371738,0.05300695587642635,0.012156363636364,0.07372910897342337,0.039515923446157675,0.04442961132043567,0.16417499518185075,0.016219594521282917,0.1275565101312692,0.02947499952899583,0.07602329737323264,0.039233788301698026
11026729.0,Divača,0.03648747434160353,0.029397866543830704,69,70,1,0.04081651960728215,0.01991389651536519,0.001976284584980237,0.0022123893805309734,0.027972027972027972,0.013771279073316689,0.05580380799670945,0.02926009858280609,0.048033142137655166,0.12511529756536136,0.000454545454545,0.024744142023721494,0.01888138174281799,0.00104019139521672,0.023127116544148014,0.004732683675751176,0.053392405305924706,0.047299476155303506,0.01988736833291074,0.13757971251539486
11026737.0,Dobrepolje,0.011279636722035361,0.008668816507531124,158,136,22,0.01142900662587901,0.01945881718960842,0.0009881422924901185,0.0022123893805309734,0.027972027972027972,0.01725963336380764,0.004868257291314594,0.0009076947613094321,0.001207515811831782,0.026492882531553637,0.000227272727273,0.002442025318406988,0.01867713961603259,0.00104019139521672,0.023127116544148014,0.006535343097347714,0.004330550533459751,0.0008993032364626245,0.00013564035244455945,0.02069499437124805
11026753.0,Dol pri Ljubljani,0.01858868051381966,0.006329440812840392,116,154,38,0.020305151518460747,0.012119141555083528,0.0029644268774703555,0.0022123893805309734,0.027972027972027972,0.045234699697742894,0.05051956707324238,0.002099800547829153,0.00546828979564269,0.016991310720165922,0.000681818181818,0.005088399454092747,0.0024008472394128145,0.00104019139521672,0.023127116544148014,0.022727185695968054,0.04892801577697503,0.004631538759617302,0.00031378134865508084,0.01368240688194339
11026761.0,Domžale,0.11099297754147157,0.08974699018904955,15,22,7,0.12209939590543926,0.09460459943730243,0.026284584980237155,0.10545552637531616,0.1678321678321678,0.1705972833019546,0.13794175937641776,0.14329932309187926,0.03237924455021804,0.10943589056378339,0.009941818181818,0.09674210789989324,0.05650394924947459,0.09877882302602965,0.15550232647779522,0.1021830414426548,0.1347167921949332,0.03133855881629824,0.1170301342853174,0.10768438532111888
11026796.0,Duplek,0.015072844008860563,0.006306876647357044,129,155,26,0.01771318888740289,0.013058182694792836,0.0029644268774703555,0.0022123893805309734,0.03496503496503496,0.04217048508496428,0.007737972849377598,0.00848708354775248,0.0013153190257552806,0.020104356775524,0.000681818181818,0.004687228451168632,0.0028147707147563508,0.00104019139521672,0.031799785248203524,0.014549242323544183,0.005886815658562199,0.0008806112805427313,0.004054869051991887,0.01312138901396166
