output_path,producing_script,newest_input,output_mtime,is_stale
outputs/supplementary/tableS3_individual_indicator_weights.csv,01_gi_construction.py,2026-04-29 11:00:22,2026-08-11 14:51:01,False
outputs/supplementary/tableS4_beta_sensitivity.csv,07_beta_sensitivity.py / 12_export_outputs.py,2026-04-29 11:00:13,2026-08-18 13:29:51,False
outputs/tables/accessibility_normalized.csv,05_accessibility.py,2026-08-14 10:07:40,2026-08-11 14:51:02,True
outputs/tables/huff_AHP_summary.csv,03_huff_ahp.py,2026-08-14 10:07:40,2026-08-11 14:51:01,True
outputs/tables/huff_NW_summary.csv,04_huff_nonweighted.py,2026-08-14 10:07:40,2026-08-11 14:51:01,True
outputs/tables/ml_AHP_cv_results.csv,06_ml_framework.py,2026-04-29 11:00:22,2026-08-11 14:58:04,False
outputs/tables/ml_AHP_feature_importance.csv,06_ml_framework.py,2026-04-29 11:00:22,2026-08-11 14:58:04,False
outputs/tables/ml_AHP_feature_importance_original.csv,06_ml_framework.py (pre-rerun copy),2026-04-29 11:00:22,2026-08-11 14:51:02,False
outputs/tables/ml_AHP_vs_AHP_comparison.csv,06_ml_framework.py,2026-04-29 11:00:22,2026-08-11 14:58:08,False
outputs/tables/ml_AHP_vs_AHP_comparison_original.csv,06_ml_framework.py (pre-rerun copy),2026-04-29 11:00:22,2026-08-11 14:51:02,False
outputs/tables/ml_NW_cv_results.csv,06_ml_framework.py,2026-04-29 11:00:22,2026-08-12 14:41:39,False
outputs/tables/ml_NW_feature_importance.csv,06_ml_framework.py,2026-04-29 11:00:22,2026-08-12 14:41:39,False
outputs/tables/ml_NW_vs_NW_comparison.csv,06_ml_framework.py,2026-04-29 11:00:22,2026-08-12 14:41:42,False
outputs/tables/table1_AHP_group_weights.csv,01_gi_construction.py / 12_export_outputs.py,2026-04-29 11:00:13,2026-08-18 13:29:51,False
outputs/tables/table2_top20_GI_NotWeighted.csv,01_gi_construction.py / 12_export_outputs.py,2026-04-29 11:00:22,2026-08-18 13:29:51,False
outputs/tables/table3_top20_GI_AHP.csv,01_gi_construction.py / 12_export_outputs.py,2026-04-29 11:00:22,2026-08-18 13:29:51,False
outputs/tables/table4_top15_catchments.csv,12_export_outputs.py,2026-08-14 10:07:40,2026-08-18 13:29:51,False
outputs/tables/table5_beta_sensitivity.csv,12_export_outputs.py (copy of table_beta_sensitivity),2026-04-29 11:00:13,2026-08-18 13:29:51,False
outputs/tables/table6_cv_performance.csv,12_export_outputs.py (copy of ml_AHP_cv_results),2026-04-29 11:00:22,2026-08-18 13:29:51,False
outputs/tables/table_beta_sensitivity.csv,"07_beta_sensitivity.py (early run, pre-rename)",2026-04-29 11:00:13,2026-08-11 14:51:02,False
outputs/tables/table_beta_sensitivity_clean.csv,07_beta_sensitivity.py,2026-04-29 11:00:13,2026-08-14 11:09:51,False
outputs/tables/table_disagreement_destinations.csv,14_disagreement_synthesis.py,2026-08-14 10:07:40,2026-08-18 12:36:16,False
outputs/tables/table_disagreement_synthesis.csv,14_disagreement_synthesis.py,2026-08-14 10:07:40,2026-08-18 12:36:16,False
outputs/tables/table_entropy_summary.csv,09_entropy_uncertainty.py,2026-04-29 11:00:25,2026-08-14 11:10:08,False
outputs/tables/table_euclidean_vs_network.csv,08_euclidean_comparison.py,2026-04-29 11:01:02,2026-08-14 11:09:59,False
outputs/tables/table_feature_importance_comparison.csv,15_ml_catchment_structure.py,2026-04-29 11:00:22,2026-08-18 12:37:24,False
outputs/tables/table_huff_vs_commuting.csv,11_commuting_comparison.py,2026-06-15 14:34:54,2026-08-14 10:19:33,False
outputs/tables/table_huff_vs_commuting_summary.csv,11_commuting_comparison.py,2026-06-15 14:34:54,2026-08-14 10:19:33,False
outputs/tables/table_join_counts.csv,10_morans_i.py,,2026-08-18 12:35:14,False
outputs/tables/table_lisa_summary.csv,10_morans_i.py,,2026-08-18 12:35:18,False
outputs/tables/table_ml_catchment_sizes.csv,15_ml_catchment_structure.py,2026-08-14 10:07:40,2026-08-18 12:37:24,False
outputs/tables/table_morans_i_results.csv,10_morans_i.py,,2026-08-18 12:35:03,False
outputs/tables/table_three_way_agreement.csv,10_morans_i.py,,2026-08-18 12:35:03,False
